name,category
FEIJÃO BRANCO LATA 420g,MERCEARIA/ENLATADO
FEIJÃO BRANCO COZIDO FRASCO 540g,MERCEARIA/ENLATADO
FEIJÃO ENCARNADO FRASCO 540g,MERCEARIA/ENLATADO
FEIJÃO ENCARNADO LATA 420g,MERCEARIA/ENLATADO
FEIJÃO FRADE FRASCO 540g,MERCEARIA/ENLATADO
FEIJÃO FRADE LATA 420g,MERCEARIA/ENLATADO
FEIJÃO MANTEIGA FRASCO 540g,MERCEARIA/ENLATADO
FEIJÃO MANTEIGA LATA 420g,MERCEARIA/ENLATADO,
FEIJÃO BRANCO LATA 820g,MERCEARIA/ENLATADO
FEIJÃO ENCARNADO LATA 820g,MERCEARIA/ENLATADO
FEIJÃO FRADE LATA 820g,MERCEARIA/ENLATADO
FEIJÃO MANTEIGA LATA 820g,MERCEARIA/ENLATADO
FEIJÃO PRETO LATA 820g,MERCEARIA/ENLATADO
FEIJÃO PRETO LATA 420g,MERCEARIA/ENLATADO
ERVILHAS LATA 420g,MERCEARIA/ENLATADO
ERVILHAS LATA 850g,MERCEARIA/ENLATADO
GRÃO BICO COZIDO FRASCO 540g,MERCEARIA/ENLATADO
GRÃO BICO LATA 420g,MERCEARIA/ENLATADO
GRÃO BICO LATA 820g,MERCEARIA/ENLATADO
LENTILHAS COZIDAS 540g,MERCEARIA/ENLATADO
ESPARGOS BRANCOS 345g,MERCEARIA/ENLATADO
PICKLES EM FRASCO 210g,MERCEARIA/ENLATADO
BETERRABA RALADA 370g,MERCEARIA/ENLATADO
AZEITONA MISTA RETALHADA COM AZEITE ALHO E ORÉGÃOS 155g,MERCEARIA/ENLATADO
AZEITONAS VERDES RECHEADAS 200g,MERCEARIA/ENLATADO
AZEITONA GORDAL 560g,MERCEARIA/ENLATADO
AZEITONAS PRETAS EM RODELAS 165g,MERCEARIA/ENLATADO
AZEITONA PRETA DESCAROCADA 165g,MERCEARIA/ENLATADO
AZEITONAS VERDES 560g,MERCEARIA/ENLATADO
AZEITONA VERDE DESCAROÇADA 165g,MERCEARIA/ENLATADO
AZEITONA PRETAS 210g,MERCEARIA/ENLATADO
FILETES DE ATUM EM AZEITE 120g,MERCEARIA/ENLATADO
ATUM POSTA AZEITE 120g,MERCEARIA/ENLATADO
FFILETES DE ATUM NATURAL 120g,MERCEARIA/ENLATADO
ATUM POSTA EM ÓLEO 120g,MERCEARIA/ENLATADO
ATUM POSTA NATURAL 120g,MERCEARIA/ENLATADO
ATUM POSTA ÓLEO 385g,MERCEARIA/ENLATADO
ATUM POSTA NATURAL 385g,MERCEARIA/ENLATADO
SARDINHA SEM PELE E SEM ESPINHA EM TOMATE 120g,MERCEARIA/ENLATADO
SARDINHA EM TOMATE 120g,MERCEARIA/ENLATADO
SARDINHA EM AZEITE 120g,MERCEARIA/ENLATADO
SARDINHAS EM ÓLEO 120g,MERCEARIA/ENLATADO
SARDINHA SEM PELE E SEM ESPINHA EM AZEITE 120g,MERCEARIA/ENLATADO
PATÉ DE ATUM 65g,MERCEARIA/ENLATADO
PATÉ DE SARDINHA 65g,MERCEARIA/ENLATADO
PATÉ DE ATUM 4x22g,MERCEARIA/ENLATADO
PATÉ DE SARDINHA 4x22g,MERCEARIA/ENLATADO
PATÉ ATUM 125g,MERCEARIA/ENLATADO
PATÉ DE SALMÃO 125g,MERCEARIA/ENLATADO
PATÉ ERVAS FINAS 125g,MERCEARIA/ENLATADO
PATÉ FRANGO 125g,MERCEARIA/ENLATADO
PATÉ IBÉRICO 125g,MERCEARIA/ENLATADO
SALSICHA ALEMÃ EM FRASCO 720g,MERCEARIA/ENLATADO
SALSICHAS ALEMÃS 250g,MERCEARIA/ENLATADO
SALSICHAS FRANKFURT 8 Unid.,MERCEARIA/ENLATADO
SALSICHAS AVES FRASCO 5 Unid.,MERCEARIA/ENLATADO
SALSICHAS HOT-DOG EM FRASCO 250g,MERCEARIA/ENLATADO
ANANÁS EM CALDA 825g 125g,MERCEARIA/ENLATADO
PIPOCAS CARAMELO SALGADO 100g,MERCEARIA/SNACKS
PIPOCAS DOCES PARA MICRO-ONDAS 90g,MERCEARIA/SNACKS
PIPOCAS SALGADAS MICRO-ONDAS 90g,MERCEARIA/SNACKS
BATATA FRITA RECEITA CASEIRA 200g,MERCEARIA/SNACKS
BATATA FRITA GOURMET 170g,MERCEARIA/SNACKS
BATATAS FRITAS 100% PORTUGUESAS 150g,MERCEARIA/SNACKS
BARRA DE FRUTOS SECOS PISTACHIO E CHOCOLATE 3x35g,MERCEARIA/SNACKS
BARRA DE FRUTOS SECOS AMÊNDOAS E AVELÃ 3x35g,MERCEARIA/SNACKS
BARRA DE FRUTOS SECOS AMENDOINS CAJU E ARANDUS 3x35g,MERCEARIA/SNACKS
BARRAS DE FRUTOS SECOS SÉSAMO E MEL 150g,MERCEARIA/SNACKS
BARRAS DE FRUTOS SECOS SÉSAMO E ABÓBORA 150g,MERCEARIA/SNACKS
SNACK CROCANTE AMENDOINS AMÊNDOAS E CAJÚS 90g,MERCEARIA/SNACKS
SNACK CROCANTE AMENDOINS E PISTÁCHIOS 90g,MERCEARIA/SNACKS
DOCE ABÓBORA 355g,MERCEARIA/PARA BARRAR
DOCE AMORA 355g,MERCEARIA/PARA BARRAR
DOCE CEREJA 355g,MERCEARIA/PARA BARRAR
DOCE FRAMBOESA 355g,MERCEARIA/PARA BARRAR
DOCE FRUTOS SILVESTRES 355g,MERCEARIA/PARA BARRAR
DOCE LARANJA 355g,MERCEARIA/PARA BARRAR
DOCE MORANGO 355g,MERCEARIA/PARA BARRAR
DOCE PÊSSEGO 355g,MERCEARIA/PARA BARRAR
DOCE TOMATE 355g,MERCEARIA/PARA BARRAR
MARMELADA SEM CORANTES NEM CONSERVANTES 500g,MERCEARIA/PARA BARRAR
MARMELADA EXTRA 450g,MERCEARIA/PARA BARRAR
CREME PARA BARRAR CACAU E AVELÃS 400g,MERCEARIA/PARA BARRAR
MANTEIGA DE AMENDOIM 340g,MERCEARIA/PARA BARRAR
MANTEIGA DE AMENDOIM CREMOSA 340g,MERCEARIA/PARA BARRAR
DOCE DE MORANGO SEM ADIÇÃO AÇÚCAR 230g,MERCEARIA/PARA BARRAR
DOCE DE PÊSSEGO SEM ADIÇÃO AÇÚCAR 230g,MERCEARIA/PARA BARRAR
DOCE DE FRUTOS VERMELHOS SEM ADIÇÃO AÇÚCAR 230g,MERCEARIA/PARA BARRAR
DOCE DE PAPAIA MARACUJÁ E MANGA 230g,MERCEARIA/PARA BARRAR
GELATINA MORANGO 170g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA PÊSSEGO 170g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA TUTTI-FRUTTI 170g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA MELANCIA 170g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA ANANÁS 170g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA ANANÁS LIGHT 31g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA FRUTOS VERMELHOS LIGHT 31g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA MIRTILO LIGHT 31g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA MORANGO LIGHT 31g,MERCEARIA/SOBREMESA INSTANTÂNEA
GELATINA MELANCIA LIGHT 31g,MERCEARIA/SOBREMESA INSTANTÂNEA
LEITE CREME 4x23g,MERCEARIA/SOBREMESA INSTANTÂNEA
MOUSSE DE CHOCOLATE 150g,MERCEARIA/SOBREMESA INSTANTÂNEA
PUDIM FLAN 4x56g,MERCEARIA/SOBREMESA INSTANTÂNEA
PUDIM DE BAUNILHA 90g,MERCEARIA/SOBREMESA INSTANTÂNEA
PUDIM DE CHOCOLATE 110g,MERCEARIA/SOBREMESA INSTANTÂNEA
CARAMELO LÍQUIDO 400g,MERCEARIA/PARA DOÇARIA
FERMENTO EM PÓ 150g,MERCEARIA/PARA DOÇARIA
ADOÇANTE À BASE DE ASPARTAME 300 Unid.,MERCEARIA/EDULCORANTES
EDULCORANTE EM PÓ 90g,MERCEARIA/EDULCORANTES
CAFÉ EXPRESSO DESCOBRIMENTOS 16x8g 90g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO RISTRETTO 16x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO CHIADO 16x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO INVICTA 16x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO AROMÁTICO 16x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO CORPOSO 16x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO DESCAFEINADO 16x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ KAAPI ROYALE 16x8g,MERCEARIA/BEBIDAS QUENTES
CÁPSULAS GALÃO 10x90g,MERCEARIA/BEBIDAS QUENTES
CAPPUCCINO 5 Bebidas,MERCEARIA/BEBIDAS QUENTES
CACAULATTE 5 Bebidas,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO CANELA 10x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO COMÉRCIO JUSTO 10x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO AVELUDADO 10x8g,MERCEARIA/BEBIDAS QUENTES
CAFÉ EXPRESSO BRASIL 10x8g,MERCEARIA/BEBIDAS QUENTES
CÁPSULAS DE CAFÉ EXPRESSO UGANDA 10x8gs,MERCEARIA/BEBIDAS QUENTES
CÁPSULAS DE CAFÉ EXPRESSO VIETNAM 10x8g,MERCEARIA/BEBIDAS QUENTES
CAPPUCCINO 10x13g,MERCEARIA/BEBIDAS QUENTES
CÁPSULAS GALÃO 10x90g,MERCEARIA/BEBIDAS QUENTES
MISTURA DE CHICORIA 200g,MERCEARIA/BEBIDAS QUENTES
CHOCOLATE DE LEITE 100g,MERCEARIA/DOCES
CHOCOLATE DE LEITE COM AMÊNDOAS 100g,MERCEARIA/DOCES
CHOCOLATE DE LEITE COM CEREAIS 100g,MERCEARIA/DOCES
CHOCOLATE PRETO 100g,MERCEARIA/DOCES
CHOCOLATE PRETO COM AVELÃS INTEIRAS 100g,MERCEARIA/DOCES
CHOCOLATE RUBY C/FRAMBOESA 100g,MERCEARIA/DOCES
CHOCOLATE PRETO 72% 200g,MERCEARIA/DOCES
CHOCOLATE DE LEITE COM AMÊNDOAS CARAMELIZADAS 200g,MERCEARIA/DOCES
CHOCOLATE DE LEITE COM AMÊNDOAS INTEIRAS 200g,MERCEARIA/DOCES
CHOCOLATE DE LEITE COM AVELÃS E PASSAS 200g,MERCEARIA/DOCES
CHOCOLATE DE LEITE COM AVELÃS INTEIRAS 200g,MERCEARIA/DOCES
CARAMELOS FRUTA 250g,MERCEARIA/DOCES
CARAMELOS NATA 250g,MERCEARIA/DOCES
SORTIDO DE CHUPAS 150g,MERCEARIA/DOCES
PINGOS DE NEVE 250g,MERCEARIA/DOCES
REBUÇADOS DE FRUTA 250g,MERCEARIA/DOCES
DROPS RECHEIO FRUTAS 250g,MERCEARIA/DOCES
REBUÇADOS DE MENTOL 250g,MERCEARIA/DOCES
REBUÇADOS PARA TOSSE 200g,MERCEARIA/DOCES
SORTIDO DE GOMAS SEM AÇUCAR 200g,MERCEARIA/DOCES
GOMAS MULTI AÇÚCAR 300g,MERCEARIA/DOCES
GOMAS SORTIDAS ÁCIDAS 300g,MERCEARIA/DOCES
GOMAS SORTIDO FRUTA BRILHO 300g,MERCEARIA/DOCES
MARSHMALLOWS 200g,MERCEARIA/DOCES
GOMAS PARTY MIX 10x40g,MERCEARIA/DOCES
GOMAS MULTI AÇÚCAR 300g,MERCEARIA/DOCES
PASTILHAS RECHEADAS SPEARMINT 22g,MERCEARIA/DOCES
PASTILHAS RECHEADAS MELÃO E AMORA 22g,MERCEARIA/DOCES
PASTILHAS RECHEADAS MORANGO E LIMA 22g,MERCEARIA/DOCES
PASTILHAS MELANCIA 24,MERCEARIA/DOCES
PASTILHAS SPEARMINT 24,MERCEARIA/DOCES
PASTILHAS ELÁSTICAS SEM AÇÚCAR MORANGO 26,MERCEARIA/DOCES
PASTILHAS ELÁSTICAS SEM AÇÚCAR PEPPERMINT 26,MERCEARIA/DOCES
PASTILHAS ELÁSTICAS SEM AÇÚCAR SPEARMINT 26,MERCEARIA/DOCES
PASTILHAS ELÁSTICAS SEM AÇÚCAR MORANGO 4x26,MERCEARIA/DOCES
BOLSA DE FRUTA & CENOURA 120g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTOS VERMELHOS 120g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA 100% FRUTA & CHIA 120g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA MAÇÃ E BANANA 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA MORANGO E BANANA 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA MAÇÃ BANANA E LARANJA 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA PÊSSEGO E MANGA 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA MORANGO E PÊSSEGO 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA MULTIFRUTOS 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA PÊRA E MAÇÃ 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE MAÇÃ 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE PÊRA 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE BANANA COM IOGURTE 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE FRUTA MORANGO E BANANA COM IOGURTE 90g,MERCEARIA/ALIMENTOS INFANTIS
BOLSA DE MANGA COM IOGURTE 90g,MERCEARIA/ALIMENTOS INFANTIS
